listing_id,review_polarity
16442542,0.9975
10428248,0.9972
36349569,0.9972
44162148,0.9966
43147441,0.9965
18458783,0.9964
14233661,0.9963
46724802,0.9961
33442845,0.9957
13890931,0.9953
34743981,0.9953
755263,0.9949
45106440,0.99485
40634168,0.9947
33229032,0.9946
45723117,0.9946
27403904,0.9944
45885122,0.9943
42560698,0.9941
46062767,0.994
16960691,0.9937
6331801,0.9935
47871632,0.9933
13090619,0.9928
8099184,0.9926
45608186,0.9923
779670,0.992
42248672,0.9917
39811291,0.9916
38090432,0.9916
38358984,0.9916
44570785,0.99125
46102846,0.991
5470250,0.9906
44362001,0.9905
34967296,0.99045
46397383,0.9904
45275436,0.9903
6523654,0.9902
47706778,0.9902
4661866,0.9901500000000001
37217538,0.9899999999999999
35479146,0.9899
8540011,0.9899
40947371,0.9898
15436524,0.9896
25389869,0.9894
7746501,0.9893
45232777,0.9892
36600285,0.9892
6467138,0.989
36204687,0.9889
9050649,0.9887
6528805,0.9887
9810750,0.9887
5344605,0.9886999999999999
46086567,0.9886
6852132,0.9884
29658486,0.9884
45712503,0.9883
20242664,0.9883
10059956,0.9881
30677045,0.9881
15663250,0.9881
2104845,0.9879
45975849,0.9878
2799238,0.9877
11591486,0.9876
27610704,0.9875
40866354,0.9875
3131003,0.987
13407187,0.9866
38047677,0.9866
45767764,0.9865
40846713,0.9865
7856197,0.9865
32356319,0.9865
28813216,0.9863
22161454,0.9861
38774331,0.986075
13712972,0.986
45361541,0.9859
41025640,0.9857
5977148,0.98555
47307060,0.9855499999999999
40567858,0.9855
25804892,0.9854
7094605,0.9852
47569144,0.9852
3370325,0.98515
15340750,0.9851
46081103,0.9851
17027568,0.9851
6223083,0.985
34600915,0.985
8370668,0.9849166666666666
32663326,0.9847
42759775,0.9845999999999999
45768201,0.9845
38151828,0.9844
13953171,0.9843
40216486,0.984
45767840,0.9836
39952787,0.9836
8826123,0.9834
46514996,0.9834
29954779,0.9834
14670523,0.9832
32874735,0.9831
48065025,0.9831
7038020,0.98305
40025161,0.983
8971754,0.983
36667699,0.983
